
LocalAddress   LocalPort
------------   ---------
::                 53682
::                 49698
::                 49683
::1                49671
::1                49670
::                 49669
::                 49668
::                 49667
::                 49666
::                 49665
::                 49664
::1                42050
::                  7680
::                  5500
::                  2383
::1                 2031
::                  1521
::1                 1434
::                  1433
::                   445
::                   135
::                    80
127.0.0.1          57605
127.0.0.1          54401
127.0.0.1          54400
127.0.0.1          54399
0.0.0.0            49683
0.0.0.0            49669
0.0.0.0            49668
0.0.0.0            49667
0.0.0.0            49666
0.0.0.0            49665
0.0.0.0            49664
127.0.0.1          24830
0.0.0.0             8090
0.0.0.0             5040
0.0.0.0             2383
127.0.0.1           2031
127.0.0.1           1434
0.0.0.0             1433
192.168.29.160       139
0.0.0.0              135


